Temp,H,CO_2,Rsun,Tout,Hout,CO2out,Vwind,CO2dos,Lamp,LS,ES,WL,WW,Tp
20.075,77.163,860,54.8,15.1,77.1,426.6,3.8,965,66.7,0,0,49.513,7.35,42.325
21.625,76.138,918,137.6,15.4,73.4,438.9,4,1070.3,66.7,0,0,51.575,2.025,39.375
22.6,70.388,793,287.7,15.8,65.1,420.5,5.1,968.4,33.3,0,0,46.65,46.65,35.675
23.863,65.938,754.5,488.9,16.7,56.5,436.4,5.8,510.9,0,0,0,80.112,1.9875,31.3
24.8,61.475,559.5,620.8,17.3,53.3,429.1,5,516.4,0,0,0,23.313,23.313,30.1
21.025,76.138,1153,196.5,16.3,61,443.2,4.2,0,0,0,0,6.7875,2.0375,39.325
21.3,76.212,1055.5,185.2,15.9,69.4,440.1,5,1065.2,0,0,0,13.05,13.05,39.225
21.7,76.088,1011,217.5,16.1,64.3,428.4,5.4,1353.1,0,0,0,20,2.1125,38.875
22.35,68.4,1027,357.5,16.5,55.7,438.9,5.3,981.4,0,0,0,30.475,1.95,34.375
20.512,77.363,1035.5,143.5,15.9,59.8,428.4,4.3,1185.5,0,0,0,19.175,19.175,39.95
20.625,77.737,1047.5,25.9,15,64.1,425.4,2.5,474.9,66.7,0,0,57.225,2.1375,40.125
19.2,76.45,439.5,0.4,14.8,72,412,2,1278.3,66.7,0,85,95.35,3.4375,40.3
16.938,77.662,465.5,0.3,14.7,73.9,413.8,2.3,0,0,0,85,42.9,17.163,41.125
17.162,77.725,447,0.5,14.8,76.3,427.2,2.4,0,0,0,85,69.225,27.825,38.275
17.325,80.15,443.5,0.3,14.8,82,410.1,2.5,0,0,0,85,77.075,35.225,38
17.512,79.563,445,0.3,14.4,86.4,430.9,1.9,0,33.3,0,48.4,94.313,37.6,38.9
18.037,77.212,520.5,0.1,14.2,90.1,415,1.3,431.5,100,0,30,99.513,54.175,40.325
17.887,78.725,524.5,0.3,14,92.5,413.8,1.3,382,100,0,30,92.762,35.25,37.25
17.863,77.775,595.5,0.6,13.1,94.4,431.5,1.5,423.4,100,0,30,38.125,57.763,36.875
17.625,78.2,574,0.4,13.5,94.4,440.1,1.5,697.8,100,0,30,78.25,27.6,38.925
18.188,78.563,580,0.2,13.8,93.8,450.5,1.7,748.5,100,0,30,81.575,36.725,42.9
18.063,78.862,626.5,0.2,14,93.8,443.8,0.9,914.2,100,0,30,70.412,26.663,43
18.037,78.025,657,0.2,14,95,439.5,0.9,856.9,100,0,30,50.488,18.575,39.875
18.938,78.638,789,3.3,13.7,96.2,441.3,1,1078.7,66.7,0,0,68,22.725,43.925
20.125,77.475,891,122,14.5,95,436.4,1.3,1338.1,66.7,0,0,81.387,5.025,42.775
22.012,76.287,921.5,285.3,15.3,90.5,443.2,2,1302.5,33.3,0,0,88.938,2.6,38.975
23.4,73.613,829.5,448.9,16.3,79.8,458.4,3.1,1237,0,0,0,36.563,1.95,35.15
22.438,76.088,1068,287.1,16.9,75.3,464.5,2.7,1500,0,0,0,28.338,1.9125,38.225
25.412,70.8,1068,537.2,16.9,73.4,466.4,3.6,1447,0,0,0,33.35,2.1875,30.275
23.287,73.65,777,195.1,17.1,74.2,456,3.2,1086.5,66.7,0,0,93.487,2.1375,36.3
24.788,71.112,993,386.9,17.8,66.9,478.6,3.5,1232.5,0,0,0,34.725,2,34.7
24.45,71.588,950,407.9,17.9,63.1,471.9,3.9,750.4,0,0,0,33.438,2.05,34.375
23.513,72.913,1027.5,366.5,17.8,61.9,504.2,3.8,1355.2,0,0,0,33.6,1.925,35.2
21.413,76.025,1021.5,201.8,17.2,61.9,479.8,3.6,1232.7,33.3,0,0,73.125,1.8625,38.675
